date,time,de,le,pc,qd,fc,la,lo,cn,ff,jf,sp,su,ty
01-06-2020,630,DN207G,0.52846,13644,+,1,46.576288297872345,26.930755744680845,0.85,46.2,2.3885,30.51,30.51,TR
01-06-2020,630,Strada I. L. Caragiale,0.78983,13643,+,1,46.572766851851846,26.925464444444444,0.88,48.1,1.46854,39.98,39.98,TR
01-06-2020,630,DN15,0.52862,13642,+,1,46.57061717391305,26.917280434782604,0.78,44.2,3.46151,23.61,23.61,TR
01-06-2020,630,DN2G,0.39176,13641,+,3,46.56954738095238,26.911915000000004,0.81,38.5,3.23898,21.16,21.16,TR
01-06-2020,630,Strada Ionita Sandu Sturza,0.43693,13640,+,3,46.567402,26.911364,0.79,43.2,0.62582,40.09,40.09,TR
01-06-2020,630,Calea Marasesti,0.57544,13639,+,3,46.56258451612903,26.912351612903226,0.77,43.3,2.44584,28.12,28.12,TR
01-06-2020,630,Strada Erou Ciprian Pintea,0.50153,4398,+,1,46.557818918918926,26.911716486486487,0.84,45.2,2.33472,30.06,30.06,TR
01-06-2020,630,Strada Pictor Andreescu,0.55257,15205,+,1,46.55335735294119,26.91255588235294,0.86,48.1,2.16265,36.14,36.14,TR
01-06-2020,630,Strada Milcov,0.45766,4397,+,1,46.54924875000001,26.913951249999997,0.8,49.9,1.94435,38.74,38.74,TR
01-06-2020,630,Strada Garofitei,0.29663,15204,+,1,46.54602428571428,26.91502714285715,0.84,50.0,0.0,50.0,53.91,TR
01-06-2020,630,Strada Bicaz,0.08788,15203,+,1,46.54398333333334,26.915715000000002,0.83,50.0,0.0,50.0,58.45,TR
01-06-2020,630,DN11,0.50232,4396,+,1,46.54051777777778,26.916892222222216,0.83,46.6,2.32878,31.12,31.12,TR
01-06-2020,630,Strada Chimiei,0.68477,4395,+,1,46.535934210526314,26.91843210526316,0.95,40.1,2.31553,26.42,26.42,TR
01-06-2020,630,Centura Bacau Sud,4.00053,17938,+,1,46.51564005617974,26.923643258426942,0.92,49.9,0.0,52.4,52.4,TR
01-06-2020,630,Nicolae Balcescu,2.17192,4394,+,1,46.48814533333336,26.92164586666667,0.92,58.8,0.0,59.48,59.48,TR
01-06-2020,630,Centura Bacau Sud,2.17192,17938,-,1,46.488145333333335,26.92164586666666,0.98,57.9,0.0,59.47,59.47,TR
01-06-2020,630,Strada Chimiei,4.06143,4395,-,1,46.516222968750014,26.92353020833332,0.98,48.4,0.0,49.72,49.72,TR
01-06-2020,630,DN11,0.72604,4396,-,1,46.537358499999996,26.917954250000008,0.98,40.9,2.44883,26.38,26.38,TR
01-06-2020,630,Strada Bicaz,0.40864,15203,-,1,46.541624999999996,26.9165125,0.91,49.8,0.0,50.0,56.53,TR
01-06-2020,630,Strada Garofitei,0.08788,15204,-,1,46.54398333333333,26.915715000000002,0.91,50.0,0.0,50.0,70.51,TR
01-06-2020,630,Strada Milcov,0.33986,4397,-,1,46.54627888888889,26.914943333333337,0.86,50.0,0.0,50.0,57.39,TR
01-06-2020,630,Strada Pictor Andreescu,0.41443,15205,-,1,46.54943772727274,26.91388772727273,0.74,50.0,1.73016,40.05,40.05,TR
01-06-2020,630,Strada Erou Ciprian Pintea,0.55257,4398,-,1,46.55335735294119,26.91255588235293,0.82,45.7,1.93483,35.53,35.53,TR
01-06-2020,630,Calea Marasesti,0.50153,13639,-,1,46.557818918918926,26.911716486486483,0.86,46.9,0.85608,42.28,42.28,TR
01-06-2020,630,Strada Ionita Sandu Sturza,0.57544,13640,-,3,46.562584516129036,26.91235161290323,0.79,42.5,1.61524,31.61,31.61,TR
01-06-2020,630,DN2G,0.45878,13641,-,3,46.56789703703704,26.911287037037035,0.88,39.4,1.43845,29.88,29.88,TR
01-06-2020,630,DN15,0.33088,13642,-,1,46.569822499999994,26.913836071428573,0.85,39.6,3.4257,21.0,21.0,TR
01-06-2020,630,Strada I. L. Caragiale,0.54963,13643,-,1,46.57103020833333,26.91906854166667,0.85,44.8,2.91317,26.79,26.79,TR
01-06-2020,630,DN207G,0.94065,13644,-,1,46.573917500000015,26.92889882352938,0.96,47.8,1.13466,41.56,41.56,TR
01-06-2020,630,DN2F,0.38441,4399,-,1,46.57715448275864,26.930664827586206,0.99,44.2,2.43678,28.81,28.81,TR
01-06-2020,630,Strada Siretului,0.78073,13645,-,1,46.58232419354838,26.930058064516132,0.97,44.1,0.0,44.2,49.9,TR
01-06-2020,630,DJ207P,1.78051,13646,-,1,46.594211228070186,26.930476140350883,0.9,50.0,0.0,50.0,58.7,TR
01-06-2020,630,Centura Bacau,4.03451,17928,-,1,46.61620209302324,26.922690465116276,0.92,56.2,0.0,57.2,63.03,TR
01-06-2020,630,Centura Bacau,2.00844,17939,+,2,46.590693703703714,26.973964074074072,0.85,63.4,0.96032,56.4,56.4,TR
01-06-2020,630,DN2,2.66997,4830,+,2,46.582948461538464,26.94465123076923,0.79,48.1,0.42665,45.74,45.74,TR
01-06-2020,630,DN2,0.02282,4830,-,2,46.578885,26.93018,0.91,33.0,1.27156,25.17,25.17,TR
01-06-2020,630,Centura Bacau,2.64714,17939,-,2,46.583077460317455,26.945110634920656,0.94,49.6,0.0,50.0,50.4,TR
01-06-2020,630,DJ252,1.13484,4831,-,2,46.58985542857142,26.969428571428573,0.95,58.5,1.38283,49.2,49.2,TR
01-06-2020,630,Strada Arcadie Septilici,1.12979,4844,+,3,46.58089606060606,26.866896060606056,0.86,50.0,1.27758,42.65,42.65,TR
01-06-2020,630,Strada Abator,0.86289,4843,+,3,46.577127857142855,26.877529642857137,0.83,46.3,0.0,46.3,48.74,TR
01-06-2020,630,Strada Garii,0.78416,15187,+,3,46.57332714285714,26.887625357142856,0.85,43.5,0.21096,42.44,42.44,TR
01-06-2020,630,Strada Mioritei,0.26959,4842,+,3,46.57057764705883,26.894877647058824,0.88,37.7,1.22294,32.4,32.4,TR
01-06-2020,630,Strada George Bacovia,0.21597,15186,+,3,46.56995,26.896850000000004,0.87,38.3,1.62417,31.15,31.15,TR
01-06-2020,630,Strada Emil Racovita,0.15259,15185,+,3,46.56922,26.89903125,0.82,48.5,1.27975,41.36,41.36,TR
01-06-2020,630,Strada Pacii,0.22855,15184,+,3,46.56838285714286,26.90152285714286,0.83,45.9,3.15624,26.24,26.24,TR
01-06-2020,630,Strada M. Eminescu,0.18126,4841,+,3,46.56740151515152,26.90371212121212,0.86,37.6,3.21804,20.69,20.69,TR
01-06-2020,630,Strada Cuza Voda,0.20523,15183,+,3,46.56757090909091,26.904950909090914,0.88,45.3,3.69868,23.03,23.03,TR
01-06-2020,630,Strada Trandafirilor,0.2137,15182,+,3,46.56811642857143,26.90821928571429,0.88,44.1,0.88321,39.62,39.62,TR
01-06-2020,630,Bulevardul Nicolae Balcescu,0.20363,4840,+,3,46.5689890625,26.9104128125,0.89,36.6,1.91921,25.52,25.52,TR
01-06-2020,630,Bulevardul Nicolae Balcescu,0.05801,4840,-,3,46.56945625,26.910841875,0.88,33.0,1.93965,22.64,22.64,TR
01-06-2020,630,Strada Trandafirilor,0.16748,15182,-,3,46.568712500000004,26.909934,0.77,39.3,2.84621,23.44,23.44,TR
01-06-2020,630,Strada Cuza Voda,0.20025,15183,-,3,46.568086666666666,26.908040000000003,0.73,44.4,2.91748,26.5,26.5,TR
01-06-2020,630,Strada M. Eminescu,0.23412,4841,-,3,46.56752833333334,26.90455833333333,0.73,41.8,2.55591,26.51,26.51,TR
01-06-2020,630,Strada Pacii,0.10167,15184,-,3,46.56774,26.90327625,0.74,40.2,2.72258,24.61,24.61,TR
01-06-2020,630,Strada Emil Racovita,0.22855,15185,-,3,46.56838285714286,26.901522857142854,0.75,44.6,1.87141,35.0,35.0,TR
01-06-2020,630,Strada George Bacovia,0.18255,15186,-,3,46.569288,26.898832000000006,0.75,46.2,1.51692,38.14,38.14,TR
01-06-2020,630,Strada Mioritei,0.23638,4842,-,3,46.57031600000001,26.895922666666667,0.79,32.9,2.41768,20.75,20.75,TR
01-06-2020,630,Strada Garii,0.21923,15187,-,3,46.570793333333334,26.89438888888889,0.88,41.6,0.0,41.6,46.66,TR
01-06-2020,630,Strada Abator,0.8882,4843,-,3,46.57343833333333,26.887330666666664,0.88,41.4,0.20648,40.42,40.42,TR
01-06-2020,630,Strada Arcadie Septilici,0.75885,4844,-,3,46.57729192307692,26.877093076923074,0.84,50.0,0.0,50.0,60.58,TR
01-06-2020,630,DJ119B,1.15047,15188,-,3,46.58101885714287,26.866535999999996,0.81,49.9,0.0,50.0,50.87,TR
01-06-2020,630,DN11,0.05603,15161,+,1,46.55696812499999,26.886369375,0.75,29.7,0.72849,27.21,27.21,TR
01-06-2020,630,Strada Vasile Parvan,0.70837,15160,+,3,46.55960260869565,26.884079565217398,0.72,30.5,0.0,30.5,32.84,TR
01-06-2020,630,DN2G,1.88014,15159,+,3,46.57029166666667,26.878851874999995,0.74,32.7,0.0,35.32,35.32,TR
01-06-2020,630,DN2G,0.0645,15159,-,3,46.578177999999994,26.873883999999997,0.91,50.0,0.40382,47.68,47.68,TR
01-06-2020,630,Strada Vasile Parvan,1.84301,15160,-,3,46.569081555555556,26.87959177777778,0.84,26.2,0.0,39.19,39.19,TR
01-06-2020,630,DN11,0.80575,15161,-,1,46.55852000000002,26.88469484848484,0.84,30.0,0.0,30.0,37.43,TR
01-06-2020,630,Strada Tecuciului,0.03355,15168,+,3,46.527620000000006,26.962796666666666,0.81,48.0,3.51218,25.61,25.61,TR
01-06-2020,630,Strada Ciprian Porumbescu,3.60607,15167,+,3,46.52713326797384,26.949582614379096,0.9,32.6,0.0,39.59,39.59,TR
01-06-2020,630,Strada \xcenfratirii,0.29777,15166,+,3,46.533695,26.932919166666675,0.96,30.0,0.0,30.0,35.23,TR
01-06-2020,630,Strada Ciresoaia,0.17775,15165,+,3,46.532684,26.929719000000006,0.94,41.6,0.0,42.91,42.91,TR
01-06-2020,630,Strada Bicaz,0.59227,15164,+,3,46.53339555555556,26.923433888888884,0.96,43.6,1.15822,37.79,37.79,TR
01-06-2020,630,Bulevardul Republicii,0.1779,15163,+,3,46.53350714285714,26.919853571428572,0.96,25.4,2.1311,16.18,16.18,TR
01-06-2020,630,Bulevardul Republicii,0.0299,15163,-,4,46.533390000000004,26.91909,0.7,29.4,3.07601,16.0,16.0,TR
01-06-2020,630,Strada Bicaz,0.14799,15164,-,3,46.533554,26.920158999999995,0.87,29.6,1.40068,21.83,21.83,TR
